code_insee,nom_standard,dep_code,population,superficie_km2,densite,latitude_mairie,longitude_mairie
01443,Villars-les-Dombes,01,4954,25,201.0,46.001,5.03
01444,Villebois,01,1197,14,85.0,45.849,5.434
01445,Villemotier,01,617,14,44.0,46.347,5.321
01446,Villeneuve,01,1569,27,58.0,46.022,4.837
01447,Villereversure,01,1353,17,77.0,46.192,5.396
01448,Villes,01,400,9,44.0,46.09,5.786
01449,Villette-sur-Ain,01,762,20,38.0,45.988,5.269
01450,Villieu-Loyes-Mollon,01,3793,16,240.0,45.922,5.224
01451,Viriat,01,6808,45,150.0,46.253,5.217
01452,Virieu-le-Grand,01,1118,13,88.0,45.848,5.652
01453,Arvière-en-Valromey,01,713,16,43.0,45.909,5.724
01454,Virignin,01,1127,8,144.0,45.721,5.71
01456,Vongnes,01,71,2,34.0,45.815,5.726
01457,Vonnas,01,3216,18,178.0,46.22,4.992
02001,Abbécourt,02,507,6,84.0,49.596,3.18
02002,Achery,02,594,7,86.0,49.692,3.391
02003,Acy,02,1016,12,88.0,49.347,3.415
02004,Agnicourt-et-Séchelles,02,186,11,17.0,49.718,3.954
02005,Aguilcourt,02,393,11,37.0,49.406,3.966
02006,Aisonville-et-Bernoville,02,259,9,30.0,49.931,3.515
02007,Aizelles,02,120,5,24.0,49.489,3.812
02008,Aizy-Jouy,02,303,15,21.0,49.436,3.515
02009,Alaincourt,02,527,6,88.0,49.764,3.375
02010,Allemant,02,169,5,33.0,49.46,3.451
02011,Ambleny,02,1181,17,69.0,49.38,3.185
02012,Ambrief,02,78,4,17.0,49.319,3.401
02013,Amifontaine,02,387,28,14.0,49.483,3.916
02014,Amigny-Rouy,02,716,13,54.0,49.608,3.303
02015,Ancienville,02,76,4,20.0,49.218,3.215
02016,Andelain,02,212,3,74.0,49.643,3.37
02017,Anguilcourt-le-Sart,02,295,9,32.0,49.69,3.434
02018,Anizy-le-Grand,02,2549,10,263.0,49.505,3.452
02019,Annois,02,355,6,59.0,49.72,3.179
02020,Any-Martin-Rieux,02,455,18,26.0,49.879,4.223
02021,Archon,02,79,7,12.0,49.741,4.118
02022,Arcy-Sainte-Restitue,02,399,26,15.0,49.253,3.465
02023,Armentières-sur-Ourcq,02,99,7,14.0,49.184,3.385
02024,Arrancy,02,47,6,8.0,49.492,3.754
02025,Artemps,02,365,6,57.0,49.766,3.193
02027,Assis-sur-Serre,02,206,8,25.0,49.687,3.559
02028,Athies-sous-Laon,02,2601,15,168.0,49.573,3.683
02029,Attilly,02,348,12,29.0,49.856,3.167
02030,Aubencheul-aux-Bois,02,248,2,115.0,50.029,3.267
02031,Aubenton,02,660,24,28.0,49.837,4.205
02032,Aubigny-aux-Kaisnes,02,247,4,67.0,49.774,3.116
02033,Aubigny-en-Laonnois,02,101,4,23.0,49.497,3.791
02034,Audignicourt,02,116,6,20.0,49.477,3.132
02035,Audigny,02,281,11,26.0,49.868,3.647
02036,Augy,02,70,3,27.0,49.339,3.514
02037,Aulnois-sous-Laon,02,1369,10,142.0,49.615,3.601
02038,Les Autels,02,62,6,10.0,49.764,4.226
02039,Autremencourt,02,175,9,19.0,49.705,3.786
02040,Autreppes,02,176,7,26.0,49.904,3.855
02041,Autreville,02,805,4,222.0,49.585,3.24
02042,Azy-sur-Marne,02,375,3,136.0,49.001,3.366
02043,Bagneux,02,63,2,28.0,49.459,3.28
02044,Bancigny,02,25,3,7.0,49.801,4.036
02046,Barenton-Bugny,02,557,12,48.0,49.634,3.65
02047,Barenton-Cel,02,108,7,16.0,49.644,3.656
02048,Barenton-sur-Serre,02,130,8,16.0,49.672,3.681
02049,Barisis-aux-Bois,02,739,15,50.0,49.579,3.328
02050,Barzy-en-Thiérache,02,319,8,41.0,50.043,3.749
02051,Barzy-sur-Marne,02,392,8,52.0,49.081,3.559
02052,Bassoles-Aulers,02,129,7,18.0,49.526,3.38
02053,Vallées en Champagne,02,581,19,31.0,48.988,3.614
02054,Bazoches-et-Saint-Thibaut,02,524,10,55.0,49.307,3.619
02055,Beaumé,02,86,9,9.0,49.835,4.151
02056,Beaumont-en-Beine,02,176,5,33.0,49.692,3.13
02057,Beaurevoir,02,1368,22,62.0,49.997,3.309
02058,Beaurieux,02,832,10,86.0,49.392,3.736
02059,Beautor,02,2672,8,354.0,49.659,3.345
02060,Beauvois-en-Vermandois,02,252,8,34.0,49.84,3.104
